"ID","Year","Tax.Type","NAICS","Total.Taxable","Units","City"
101,"2016 Quarter 3","Sales","All NAICS","$72,171","87","Hatton"
101,"2016 Quarter 2","Sales","All NAICS","$192,264","80","Hatton"
101,"2016 Quarter 1","Sales","All NAICS","$196,200","85","Hatton"
101,"2016 Annual","Sales","All NAICS","$553,340","196","Hatton"
101,"2015 Quarter 4","Sales","All NAICS","$52,976","90","Hatton"
101,"2015 Quarter 3","Sales","All NAICS","$80,209","82","Hatton"
101,"2015 Quarter 2","Sales","All NAICS","$122,934","75","Hatton"
101,"2015 Quarter 1","Sales","All NAICS","$68,631","84","Hatton"
101,"2015 Annual","Sales","All NAICS","$324,750","182","Hatton"
102,"2022 Quarter 3","Sales","All NAICS","$1,650,476","703","Lind"
102,"2022 Quarter 2","Sales","All NAICS","$1,477,968","720","Lind"
102,"2022 Quarter 1","Sales","All NAICS","$1,148,007","704","Lind"
102,"2021 Quarter 4","Sales","All NAICS","$1,129,122","778","Lind"
102,"2021 Quarter 3","Sales","All NAICS","$1,196,943","728","Lind"
102,"2021 Quarter 2","Sales","All NAICS","$1,194,206","700","Lind"
102,"2021 Quarter 1","Sales","All NAICS","$1,029,819","679","Lind"
102,"2021 Annual","Sales","All NAICS","$4,543,446","1,413","Lind"
102,"2020 Quarter 4","Sales","All NAICS","$1,035,471","730","Lind"
102,"2020 Quarter 3","Sales","All NAICS","$1,922,843","652","Lind"
102,"2020 Quarter 2","Sales","All NAICS","$1,169,805","704","Lind"
102,"2020 Quarter 1","Sales","All NAICS","$799,540","571","Lind"
102,"2020 Annual","Sales","All NAICS","$4,915,587","1,316","Lind"
102,"2019 Quarter 4","Sales","All NAICS","$2,561,540","624","Lind"
102,"2019 Quarter 3","Sales","All NAICS","$1,382,537","540","Lind"
102,"2019 Quarter 2","Sales","All NAICS","$1,005,429","552","Lind"
102,"2019 Quarter 1","Sales","All NAICS","$849,494","502","Lind"
102,"2019 Annual","Sales","All NAICS","$5,793,020","1,105","Lind"
102,"2018 Quarter 4","Sales","All NAICS","$1,165,721","557","Lind"
102,"2018 Quarter 3","Sales","All NAICS","$1,141,267","467","Lind"
102,"2018 Quarter 2","Sales","All NAICS","$959,286","449","Lind"
102,"2018 Quarter 1","Sales","All NAICS","$822,580","444","Lind"
102,"2018 Annual","Sales","All NAICS","$4,073,404","950","Lind"
102,"2017 Quarter 4","Sales","All NAICS","$902,930","470","Lind"
102,"2017 Quarter 3","Sales","All NAICS","$872,159","433","Lind"
102,"2017 Quarter 2","Sales","All NAICS","$904,652","422","Lind"
102,"2017 Quarter 1","Sales","All NAICS","$928,305","430","Lind"
102,"2017 Annual","Sales","All NAICS","$3,608,046","847","Lind"
102,"2016 Quarter 4","Sales","All NAICS","$1,014,787","479","Lind"
102,"2016 Quarter 3","Sales","All NAICS","$1,080,379","416","Lind"
102,"2016 Quarter 2","Sales","All NAICS","$1,010,705","405","Lind"
102,"2016 Quarter 1","Sales","All NAICS","$797,870","396","Lind"
102,"2016 Annual","Sales","All NAICS","$3,903,741","807","Lind"
102,"2015 Quarter 4","Sales","All NAICS","$958,862","447","Lind"
102,"2015 Quarter 3","Sales","All NAICS","$1,161,306","403","Lind"
102,"2015 Quarter 2","Sales","All NAICS","$1,039,190","369","Lind"
102,"2015 Quarter 1","Sales","All NAICS","$880,969","395","Lind"
102,"2015 Annual","Sales","All NAICS","$4,040,327","748","Lind"
103,"2022 Quarter 3","Sales","All NAICS","$61,554,078","3,753","Othello"
103,"2022 Quarter 2","Sales","All NAICS","$55,055,058","3,789","Othello"
103,"2022 Quarter 1","Sales","All NAICS","$52,505,332","3,697","Othello"
103,"2021 Quarter 4","Sales","All NAICS","$58,751,759","3,921","Othello"
103,"2021 Quarter 3","Sales","All NAICS","$64,806,997","3,713","Othello"
103,"2021 Quarter 2","Sales","All NAICS","$63,139,232","3,788","Othello"
103,"2021 Quarter 1","Sales","All NAICS","$54,021,871","3,672","Othello"
103,"2021 Annual","Sales","All NAICS","$240,622,422","6,452","Othello"
103,"2020 Quarter 4","Sales","All NAICS","$56,458,599","3,729","Othello"
103,"2020 Quarter 3","Sales","All NAICS","$59,515,822","3,459","Othello"
103,"2020 Quarter 2","Sales","All NAICS","$53,804,490","3,300","Othello"
103,"2020 Quarter 1","Sales","All NAICS","$54,835,464","3,094","Othello"
103,"2020 Annual","Sales","All NAICS","$224,453,189","5,759","Othello"
103,"2019 Quarter 4","Sales","All NAICS","$56,888,958","3,219","Othello"
103,"2019 Quarter 3","Sales","All NAICS","$47,539,112","2,939","Othello"
103,"2019 Quarter 2","Sales","All NAICS","$40,805,106","2,776","Othello"
103,"2019 Quarter 1","Sales","All NAICS","$41,357,357","2,564","Othello"
103,"2019 Annual","Sales","All NAICS","$186,507,316","4,948","Othello"
103,"2018 Quarter 4","Sales","All NAICS","$45,745,568","2,616","Othello"
103,"2018 Quarter 3","Sales","All NAICS","$54,199,639","2,369","Othello"
103,"2018 Quarter 2","Sales","All NAICS","$43,064,269","2,247","Othello"
103,"2018 Quarter 1","Sales","All NAICS","$35,108,519","2,203","Othello"
103,"2018 Annual","Sales","All NAICS","$177,986,105","4,038","Othello"
103,"2017 Quarter 4","Sales","All NAICS","$41,719,442","2,636","Othello"
103,"2017 Quarter 3","Sales","All NAICS","$45,468,453","2,419","Othello"
103,"2017 Quarter 2","Sales","All NAICS","$44,261,964","2,267","Othello"
103,"2017 Quarter 1","Sales","All NAICS","$39,047,372","2,160","Othello"
103,"2017 Annual","Sales","All NAICS","$170,497,231","4,067","Othello"
103,"2016 Quarter 4","Sales","All NAICS","$41,445,253","2,477","Othello"
103,"2016 Quarter 3","Sales","All NAICS","$44,861,187","2,219","Othello"
103,"2016 Quarter 2","Sales","All NAICS","$44,729,667","2,158","Othello"
103,"2016 Quarter 1","Sales","All NAICS","$36,460,877","2,107","Othello"
103,"2016 Annual","Sales","All NAICS","$167,496,984","3,812","Othello"
103,"2015 Quarter 4","Sales","All NAICS","$36,736,362","2,250","Othello"
103,"2015 Quarter 3","Sales","All NAICS","$40,397,905","2,045","Othello"
103,"2015 Quarter 2","Sales","All NAICS","$40,961,605","1,990","Othello"
103,"2015 Quarter 1","Sales","All NAICS","$35,574,018","1,891","Othello"
103,"2015 Annual","Sales","All NAICS","$153,669,890","3,437","Othello"
104,"2022 Quarter 3","Sales","All NAICS","$16,868,586","2,136","Ritzville"
104,"2022 Quarter 2","Sales","All NAICS","$15,484,154","2,135","Ritzville"
104,"2022 Quarter 1","Sales","All NAICS","$12,216,583","2,065","Ritzville"
104,"2021 Quarter 4","Sales","All NAICS","$14,198,239","2,271","Ritzville"
104,"2021 Quarter 3","Sales","All NAICS","$16,166,757","2,060","Ritzville"
104,"2021 Quarter 2","Sales","All NAICS","$16,386,469","2,073","Ritzville"
104,"2021 Quarter 1","Sales","All NAICS","$12,581,587","1,964","Ritzville"
104,"2021 Annual","Sales","All NAICS","$59,276,263","3,831","Ritzville"
104,"2020 Quarter 4","Sales","All NAICS","$14,539,183","2,067","Ritzville"
104,"2020 Quarter 3","Sales","All NAICS","$13,751,060","1,830","Ritzville"
104,"2020 Quarter 2","Sales","All NAICS","$13,747,436","1,839","Ritzville"
104,"2020 Quarter 1","Sales","All NAICS","$9,532,651","1,661","Ritzville"
104,"2020 Annual","Sales","All NAICS","$51,465,032","3,383","Ritzville"
104,"2019 Quarter 4","Sales","All NAICS","$11,898,302","1,725","Ritzville"
104,"2019 Quarter 3","Sales","All NAICS","$14,579,512","1,561","Ritzville"
104,"2019 Quarter 2","Sales","All NAICS","$15,931,963","1,539","Ritzville"
104,"2019 Quarter 1","Sales","All NAICS","$11,306,425","1,397","Ritzville"
104,"2019 Annual","Sales","All NAICS","$53,683,025","2,779","Ritzville"
104,"2018 Quarter 4","Sales","All NAICS","$11,988,596","1,486","Ritzville"
104,"2018 Quarter 3","Sales","All NAICS","$12,573,347","1,268","Ritzville"
104,"2018 Quarter 2","Sales","All NAICS","$10,997,247","1,251","Ritzville"
104,"2018 Quarter 1","Sales","All NAICS","$9,501,573","1,217","Ritzville"
104,"2018 Annual","Sales","All NAICS","$45,031,979","2,352","Ritzville"
104,"2017 Quarter 4","Sales","All NAICS","$10,055,136","1,584","Ritzville"
104,"2017 Quarter 3","Sales","All NAICS","$12,590,274","1,336","Ritzville"
104,"2017 Quarter 2","Sales","All NAICS","$13,198,187","1,291","Ritzville"
104,"2017 Quarter 1","Sales","All NAICS","$10,161,319","1,254","Ritzville"
104,"2017 Annual","Sales","All NAICS","$46,004,916","2,482","Ritzville"
104,"2016 Quarter 4","Sales","All NAICS","$10,114,870","1,430","Ritzville"
104,"2016 Quarter 3","Sales","All NAICS","$11,951,453","1,174","Ritzville"
104,"2016 Quarter 2","Sales","All NAICS","$10,459,586","1,195","Ritzville"
104,"2016 Quarter 1","Sales","All NAICS","$9,065,176","1,208","Ritzville"
104,"2016 Annual","Sales","All NAICS","$41,591,085","2,195","Ritzville"
104,"2015 Quarter 4","Sales","All NAICS","$11,790,482","1,287","Ritzville"
104,"2015 Quarter 3","Sales","All NAICS","$12,803,346","1,119","Ritzville"
104,"2015 Quarter 2","Sales","All NAICS","$10,765,009","1,119","Ritzville"
104,"2015 Quarter 1","Sales","All NAICS","$9,030,096","1,054","Ritzville"
104,"2015 Annual","Sales","All NAICS","$44,388,933","2,002","Ritzville"
